time;car_heading;bearing_to_goal_north;bearing_to_goal_front_of_car;latitude;longitude;distance
1240;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1270;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1290;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1310;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1340;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1370;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1390;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1420;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1440;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1460;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1490;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1510;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1530;1.501897;127.604551;126.102654;43.610508;1.431239;22.953897
1560;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1590;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1620;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1640;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1660;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1680;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1700;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1730;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1750;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1790;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1810;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1840;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1860;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1880;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1900;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1930;1.501897;127.589937;126.088040;43.610508;1.431239;22.961502
1960;1.501897;127.589937;126.088041;43.610508;1.431239;22.961502
1980;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2010;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2040;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2060;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2080;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2100;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2130;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2160;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2180;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2200;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2220;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2250;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2280;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2310;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2340;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2360;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2380;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2400;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2420;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2450;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2470;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2500;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2540;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2560;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2580;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2600;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2620;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2650;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2670;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2690;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2710;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2750;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2770;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2800;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2820;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2850;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2870;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2900;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2920;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2950;1.501897;127.575333;126.073436;43.610508;1.431239;22.969108
2970;1.501897;127.560739;126.058842;43.610508;1.431239;22.976715
3000;1.501897;127.560739;126.058842;43.610508;1.431239;22.976715
3030;1.501897;127.560739;126.058842;43.610508;1.431239;22.976715
3050;1.501897;127.560739;126.058842;43.610508;1.431239;22.976715
3070;1.501897;127.560739;126.058842;43.610508;1.431239;22.976715
3100;1.501897;127.560739;126.058842;43.610508;1.431239;22.976715
3120;1.501897;127.560739;126.058842;43.610508;1.431239;22.976715
15270;147.644118;127.736512;-19.907606;43.610508;1.431240;22.885526
15290;147.644118;127.736512;-19.907606;43.610508;1.431240;22.885526
15310;147.644118;127.736512;-19.907606;43.610508;1.431240;22.885526
15340;147.644118;127.736512;-19.907606;43.610508;1.431240;22.885526
15360;146.728471;127.765944;-18.962527;43.610508;1.431240;22.870349
15390;146.728471;127.765944;-18.962527;43.610508;1.431240;22.870349
15430;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15450;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15470;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15490;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15530;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15550;143.252340;127.824925;-15.427415;43.610508;1.431241;22.840013
15570;143.252340;127.824925;-15.427415;43.610508;1.431241;22.840013
15600;143.252340;127.824925;-15.427415;43.610508;1.431241;22.840013
15620;143.252340;127.824925;-15.427415;43.610508;1.431241;22.840013
